,#,Code,District,Headquarters,Population,Area,Density
183,26,PU,Pune,Pune,9426959.0,15643.0,603.0
184,27,RG,Raigad,Alibag,2635394.0,7152.0,368.0
185,28,RT,Ratnagiri,Ratnagiri,1612672.0,8208.0,196.0
186,29,SN,Sangli,Sangli,2820575.0,8572.0,329.0
187,30,ST,Satara,Satara,3003922.0,10475.0,287.0
188,31,SI,Sindhudurg,Oros,848868.0,5207.0,163.0
189,32,SO,Solapur,Solapur,4315527.0,14895.0,290.0
190,33,TH,Thane,Thane,8070032.0,4214.0,1915.0
191,34,WR,Wardha,Wardha,1296157.0,6309.0,205.0
192,35,WS,Washim,Washim,1196714.0,5155.0,244.0
193,36,YA,Yavatmal,Yavatmal,2775457.0,13582.0,204.0
194,1,BPR,Bishnupur,Bishnupur,240363.0,496.0,415.0
195,2,CDL,Chandel,Chandel,144028.0,3317.0,37.0
196,3,CCpr,Churachandpur,Churachandpur,271274.0,4574.0,50.0
197,4,IE,Imphal East,Porompat,452661.0,710.0,555.0
198,5,IW,Imphal West,Lamphelpat,514683.0,519.0,847.0
199,6,JBM,Jiribam,Jiribam,43818.0,232.0,190.0
200,7,KAK,Kakching,Kakching,135481.0,190.0,710.0
201,8,KJ,Kamjong,Kamjong,45616.0,2000.0,23.0
202,9,KPI,Kangpokpi,Kangpokpi,193744.0,1698.0,110.0
203,10,NL,Noney,Noney (Longmai),,,
204,11,PZ,Pherzawl,Pherzawl,47250.0,2285.0,21.0
205,12,SE,Senapati,Senapati,354772.0,3269.0,116.0
206,13,TML,Tamenglong,Tamenglong,140143.0,4391.0,25.0
207,14,TNL,Tengnoupal,Tengnoupal,59110.0,1213.0,49.0
208,15,TBL,Thoubal,Thoubal,420517.0,514.0,713.0
209,16,UKR,Ukhrul,Ukhrul,183115.0,4547.0,31.0
210,1,EG,East Garo Hills,Williamnagar,317618.0,2603.0,121.0
211,2,EK,East Khasi Hills,Shillong,824059.0,2752.0,292.0
212,3,–,East Jaintia Hills,Khliehriat,122436.0,2115.0,58.0
213,4,–,Eastern West Khasi Hills,Mairang,131451.0,1356.0,97.0
214,5,–,North Garo Hills,Resubelpara,118325.0,1113.0,106.0
215,6,RB,Ri Bhoi,Nongpoh,258380.0,2378.0,109.0
216,7,SG,South Garo Hills,Baghmara,142574.0,1850.0,77.0
217,8,–,South West Garo Hills,Ampati,172495.0,822.0,210.0
218,9,–,South West Khasi Hills,Mawkyrwat,110152.0,1341.0,82.0
219,10,WG,West Garo Hills,Tura,642923.0,3714.0,173.0
220,11,WJ,West Jaintia Hills,Jowai,270352.0,1693.0,160.0
221,12,WK,West Khasi Hills,Nongstoin,385601.0,5247.0,73.0
222,1,AI,Aizawl,Aizawl,404054.0,3577.0,113.0
223,2,CH,Champhai,Champhai,125370.0,3168.0,39.0
224,3,-,Hnahthial,Hnahthial,28468.0,,
225,4,-,Khawzawl,Khawzawl,,,
226,5,KO,Kolasib,Kolasib,83054.0,1386.0,60.0
227,6,LA,Lawngtlai,Lawngtlai,117444.0,2519.0,46.0
228,7,LU,Lunglei,Lunglei,154094.0,4572.0,34.0
229,8,MA,Mamit,Mamit,85757.0,2967.0,28.0
230,9,SA,Saiha,Saiha,56366.0,1414.0,40.0
231,10,-,Saitual,Saitual,,,
232,11,SE,Serchhip,Serchhip,64875.0,1424.0,46.0
233,1,–,Chümoukedima,Chümoukedima,125400.0,570.0,220.0
234,2,DI,Dimapur,Dimapur,379769.0,926.0,410.0
235,3,KI,Kiphire,Kiphire,74033.0,1255.0,66.0
236,4,KO,Kohima,Kohima,270063.0,1041.0,213.0
237,5,LO,Longleng,Longleng,50593.0,885.0,89.0
238,6,MK,Mokokchung,Mokokchung,193171.0,1615.0,120.0
239,7,MN,Mon,Mon,259604.0,1786.0,145.0
240,8,–,Niuland,Niuland,42287.0,483.63,87.0
241,9,–,Noklak,Noklak,59300.0,1152.0,51.0
242,10,PE,Peren,Peren,163294.0,2300.0,55.0
243,11,PH,Phek,Phek,163294.0,2026.0,81.0
244,12,–,Shamator,Shamator,34223.0,469.0,73.0
245,13,–,Tseminyü,Tseminyü,63629.0,256.0,249.0
246,14,TU,Tuensang,Tuensang,414801.0,4228.0,98.0
247,15,WO,Wokha,Wokha,166239.0,1628.0,120.0
248,16,ZU,Zunheboto,Zunheboto,141014.0,1255.0,112.0
249,1,AN,Angul,Angul,1271703.0,6232.0,199.0
250,2,BD,Boudh,Boudh,439917.0,3098.0,142.0
251,3,BH,Bhadrak,Bhadrak,1506522.0,2505.0,601.0
252,4,BL,Balangir,Balangir,1648574.0,6575.0,251.0
253,5,BR,Bargarh,Bargarh,1478833.0,5837.0,253.0
254,6,BW,Balasore,Balasore,2317419.0,3634.0,609.0
255,7,CU,Cuttack,Cuttack,2618708.0,3932.0,666.0
256,8,DE,Debagarh,Debagarh,312164.0,2781.0,106.0
257,9,DH,Dhenkanal,Dhenkanal,1192948.0,4452.0,268.0
258,10,GN,Ganjam,Chhatrapur,3529031.0,8206.0,430.0
259,11,GP,Gajapati,Paralakhemundi,575880.0,3850.0,133.0
260,12,JH,Jharsuguda,Jharsuguda,579499.0,2081.0,274.0
261,13,JP,Jajpur,Jajpur,1826275.0,2888.0,630.0
262,14,JS,Jagatsinghpur,Jagatsinghpur,1136604.0,1759.0,681.0
263,15,KH,Khordha,Khordha,2251673.0,2813.0,800.0
264,16,KJ,Kendujhar,Kendujhar,1802777.0,8240.0,217.0
265,17,KL,Kalahandi,Bhawanipatna,1573054.0,7920.0,199.0
266,18,KN,Kandhamal,Phulbani,731952.0,8021.0,91.0
267,19,KO,Koraput,Koraput,1376934.0,8807.0,156.0
268,20,KP,Kendrapara,Kendrapara,1439891.0,2644.0,545.0
269,21,ML,Malkangiri,Malkangiri,612727.0,5791.0,106.0
270,22,MY,Mayurbhanj,Baripada,2513895.0,10418.0,241.0
271,23,NB,Nabarangpur,Nabarangpur,1218762.0,5294.0,230.0
272,24,NU,Nuapada,Nuapada,606490.0,3408.0,157.0
273,25,NY,Nayagarh,Nayagarh,962215.0,3890.0,247.0
274,26,PU,Puri,Puri,1697983.0,3051.0,488.0
275,27,RA,Rayagada,Rayagada,961959.0,7584.7,136.0
276,28,SA,Sambalpur,Sambalpur,1044410.0,6702.0,158.0
277,29,SO,Subarnapur,Subarnapur,652107.0,2284.0,279.0
278,30,SU,Sundargarh,Sundergarh,2080664.0,9712.0,214.0
279,1,AM,Amritsar,Amritsar,2490891.0,2673.0,932.0
280,2,BNL,Barnala,Barnala,596294.0,1423.0,419.0
281,3,BA,Bathinda,Bathinda,1388859.0,3355.0,414.0
282,4,FI,Firozpur,Firozpur,2026831.0,5334.0,380.0
283,5,FR,Faridkot,Faridkot,618008.0,1472.0,424.0
284,6,FT,Fatehgarh Sahib,Fatehgarh Sahib,599814.0,1180.0,508.0
285,7,FA,Fazilka,Fazilka,1180483.0,3113.0,379.0
286,8,GU,Gurdaspur,Gurdaspur,2299026.0,3542.0,649.0
287,9,HO,Hoshiarpur,Hoshiarpur,1582793.0,3397.0,466.0
288,10,JA,Jalandhar,Jalandhar,2181753.0,2625.0,831.0
289,11,KA,Kapurthala,Kapurthala,817668.0,1646.0,501.0
290,12,LU,Ludhiana,Ludhiana,3487882.0,3744.0,975.0
291,13,ML,Malerkotla,Malerkotla,429754.0,684.0,629.0
292,14,MA,Mansa,Mansa,768808.0,2174.0,350.0
293,15,MO,Moga,Moga,992289.0,2235.0,444.0
294,16,MU,Sri Muktsar Sahib,Sri Muktsar Sahib,902702.0,2596.0,348.0
295,17,PA,Pathankot,Pathankot,626154.0,929.0,674.0
296,18,PA,Patiala,Patiala,2892282.0,3175.0,596.0
297,19,RU,Rupnagar,Rupnagar,683349.0,1400.0,488.0
298,20,SAS,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,986147.0,1188.0,830.0
299,21,SA,Sangrur,Sangrur,1654408.0,3685.0,449.0
300,22,PB,Shahid Bhagat Singh Nagar,Nawanshahr,614362.0,1283.0,479.0
301,23,TT,Tarn Taran,Tarn Taran Sahib,1120070.0,2414.0,464.0
302,1,AN,Anupgarh,Anupgarh,869696.0,8872.0,98.0
303,2,AJ,Ajmer,Ajmer,2584913.0,8481.0,305.0
304,3,AL,Alwar,Alwar,3671999.0,8380.0,438.0
305,4,BA,Balotra,Balotra,970760.0,19000.0,51.0
306,5,BE,Beawar,Beawar,,,
307,6,BI,Bikaner,Bikaner,2367745.0,27244.0,78.0
308,7,BM,Barmer,Barmer,2604453.0,28387.0,92.0
309,8,BN,Banswara,Banswara,1798194.0,5037.0,399.0
310,9,BP,Bharatpur,Bharatpur,2549121.0,5066.0,503.0
311,10,BR,Baran,Baran,1223921.0,6955.0,175.0
