Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
Radhakrishna Multispeciality Hospital,BANGALORE,KARNATAKA,4.0,548,"WGRW+96 Bengaluru, Karnataka"
Life Care Hospital,BANGALORE,KARNATAKA,4.4,2044,"WJ97+P5 Bengaluru, Karnataka"
Vijayshree Hospital,BANGALORE,KARNATAKA,3.2,355,"VH5Q+4P Bengaluru, Karnataka"
Vimalalaya Hospital,BANGALORE,KARNATAKA,3.3,566,"RMMJ+X4 Bengaluru, Karnataka"
Ayurvaid Hospitals,BANGALORE,KARNATAKA,4.6,759,"WJ8P+HG Bengaluru, Karnataka"
Sri Lakshmi Multispecialty Hospital,BANGALORE,KARNATAKA,4.5,570,
Mamatha Hospital,BANGALORE,KARNATAKA,3.0,85,"WHCR+5W Bengaluru, Karnataka"
Blossom Multispecialty Hospital,BANGALORE,KARNATAKA,3.4,8,"VMC5+5Q Bengaluru, Karnataka"
Rajshekar Hospital,BANGALORE,KARNATAKA,4.2,951,"WH6H+CV Bengaluru, Karnataka"
People Tree Hospitals (Raghavendra),BANGALORE,KARNATAKA,4.6,2239,"2GR8+X6 Bengaluru, Karnataka"
Specialist Hospital,BANGALORE,KARNATAKA,4.4,6565,"2J8V+Q7 Bengaluru, Karnataka"
Krishna Hospital,BANGALORE,KARNATAKA,3.3,94,"VHJX+95 Bengaluru, Karnataka"
Neighbourhood Hospital Pvt Ltd,BANGALORE,KARNATAKA,3.6,490,"VHQJ+QR Bengaluru, Karnataka"
Ramaiah Leena Hospital,BANGALORE,KARNATAKA,3.9,183,"6PV7+37 Devanahalli, Southegowdanahalli, Karnataka"
SSNMC Super Specialty Hospital,BANGALORE,KARNATAKA,,,
Tathagat Heart Care Centre And Hospital,BANGALORE,KARNATAKA,4.2,33,"XHPJ+44 Bengaluru, Karnataka"
Shettys Hospital,BANGALORE,KARNATAKA,3.8,95,"VJXC+8H Bengaluru, Karnataka"
Family Hospital,BANGALORE,KARNATAKA,3.2,67,"2HJ5+W9 Bengaluru, Karnataka"
Astra Super Speciality Hospital,BANGALORE,KARNATAKA,4.8,8332,"VHR7+88 Bengaluru, Karnataka"
NDR Hospital,BANGALORE,KARNATAKA,3.7,258,"3HWH+8P Bengaluru, Karnataka"
Shreya Hospital,BANGALORE,KARNATAKA,4.1,726,"WFCM+H7 Bengaluru, Karnataka"
Bhagwan Mahaveer Jain Hospital,BANGALORE,KARNATAKA,4.5,6220,"XHRW+J2 Bengaluru, Karnataka"
Rajmahal Vilas Hospital,BANGALORE,KARNATAKA,3.7,350,"2HJG+WQ Bengaluru, Karnataka"
Divakars Speciality Hospital,BANGALORE,KARNATAKA,4.6,813,"WH6R+2X Bengaluru, Karnataka"
AV Multispeciality Hospital,BANGALORE,KARNATAKA,3.9,580,"WGMR+3C Bengaluru, Karnataka"
R K Hospital,BANGALORE,KARNATAKA,4.0,766,"WHPM+H8 Bengaluru, Karnataka"
Hamilton Bailey Hospital,BANGALORE,KARNATAKA,4.0,161,"WJ2X+8F Bengaluru, Karnataka"
Abhayahasta Multispeciality Hospital,BANGALORE,KARNATAKA,3.6,1150,"XMPC+5X Bengaluru, Karnataka"
"Bangalore Surgical And Orthopaedic 
Hospital",BANGALORE,KARNATAKA,4.2,275,"2JCQ+MC Bengaluru, Karnataka"
Comfort Multispeciality Hospital,BANGALORE,KARNATAKA,3.5,642,"XMJH+MX Bengaluru, Karnataka"
Janapriya Hospital,BANGALORE,KARNATAKA,3.3,257,"2J5V+JC Bengaluru, Karnataka"
"Kanva Multispeciality Hospital (Kanva Sri 
Sai Hospital)",BANGALORE,KARNATAKA,4.6,1263,"2G9Q+2P Bengaluru, Karnataka"
Motherhood Hospital,BANGALORE,KARNATAKA,4.9,112,"3J7X+J5 Bengaluru, Karnataka"
Best Hospital,BANGALORE,KARNATAKA,4.6,4792,"XHQV+7P Bengaluru, Karnataka"
Aster RV Hospital,BANGALORE,KARNATAKA,4.8,13479,"WH6P+83 Bengaluru, Karnataka"
Aaxis Hospital,BANGALORE,KARNATAKA,3.7,945,"2Q44+CP Bengaluru, Karnataka"
Pavan Hospital,BANGALORE,KARNATAKA,4.2,200,"3HXW+6F Bengaluru, Karnataka"
Motherhood Hospital,BANGALORE,KARNATAKA,4.9,112,"3J7X+J5 Bengaluru, Karnataka"
HBS Hospital,BANGALORE,KARNATAKA,3.5,361,"XJQ3+PF Bengaluru, Karnataka"
Athreya Hospital,BANGALORE,KARNATAKA,3.9,1114,"QPV4+RP Bengaluru, Karnataka"
Pinnacle Hospital,BANGALORE,KARNATAKA,3.0,1,"WHFC+86 Bengaluru, Karnataka"
Prakriya Hospital,BANGALORE,KARNATAKA,4.4,3513,"2GW4+CJ Bengaluru, Karnataka"
Chiraayu Hospital,BANGALORE,KARNATAKA,4.6,237,"2H5V+PX Bengaluru, Karnataka"
Atreum Hospital,BANGALORE,KARNATAKA,4.7,2154,"WGJ8+X8 Bengaluru, Karnataka"
Leelavatti Multispeciality Hospital,BANGALORE,KARNATAKA,4.0,185,"XH59+R4 Bengaluru, Karnataka"
Mtb Orthopaedic And Trauma Hospital,BANGALORE,KARNATAKA,4.2,152,
Digvijaya Hospital,BANGALORE,KARNATAKA,3.6,96,"WHHG+VH Bengaluru, Karnataka"
Somayaji Hospital,BANTWAL,KARNATAKA,3.2,69,"V2JJ+XQ Mangaluru, Karnataka"
Arogya Chidren'S Hospital,Belgaum,KARNATAKA,3.2,71,"VG55+MJ Belagavi, Karnataka"
Arogya Women'S Hospital,Belgaum,KARNATAKA,4.9,86,"RGV5+J5 Belagavi, Karnataka"
"Kles Dr.Prabhakar Kore Hospital And 
Medical Research Centre.",Belgaum,KARNATAKA,3.7,1056,"VGQ9+7V Belagavi, Karnataka"
Vijaya Hospital(Belgum),Belgaum,KARNATAKA,3.3,36,"VGF7+MP Belagavi, Karnataka"
Dakshata Hospital,BELGUAM,KARNATAKA,2.4,7,"RGM3+MP Belagavi, Karnataka"
Yash Hospital Critical Care Centre,BELGUAM,KARNATAKA,3.4,65,"VG29+X8 Belagavi, Karnataka"
"BHS Lakeview Heart & Super Speciality 
Hospital",BELGUAM,KARNATAKA,3.3,75,"RGR5+XV Belagavi, Karnataka"
Venugram Hospital,BELGUAM,KARNATAKA,4.2,414,"RFGW+8X Belagavi, Karnataka"
"Belgaum College Road Multispeciality 
Hospital",BELGUAM,KARNATAKA,4.6,178,"VG65+V2 Belagavi, Karnataka"
Jindal Sanjeevani Hospital,BELLARY,KARNATAKA,3.6,270,"5MW5+GH Shankar Hill Town, Karnataka"
Sree Thirumala Hospital,Bellary,KARNATAKA,3.0,6,"5W5Q+G5 Ballari, Karnataka"
SR Multispeciality Hospital Subba Rao,BELLARY,KARNATAKA,4.3,218,"4WW3+JM Ballari, Karnataka"
Prayavi Hospital,Bidar,KARNATAKA,3.1,46,
Sai Preet Bhalke Vydehi Hospital,BIDAR,KARNATAKA,3.8,189,"WG95+F6 Bidar, Karnataka"
"Shree Hospital Trauma Neuro And 
Critical Care",BIDAR,KARNATAKA,3.8,129,"WG96+P4 Bidar, Karnataka"
R.K.Choudhary Hospital,Bijapur,KARNATAKA,3.8,124,"RPJH+4P Vijayapura, Karnataka"
"Shri Ganpatlal Agarwal Memorial Ayush 
Multispeciality Hospital And Research",Bijapur,KARNATAKA,3.9,193,"RP5G+9G Vijayapura, Karnataka"
"Yashodhara Super Specialty Hospital Pvt 
Ltd",BIJAPUR,KARNATAKA,3.5,35,"VPGC+42 Vijayapura, Karnataka"
Akki Hospital,BIJAPUR,KARNATAKA,3.4,36,
Srushti Hospital,BINAGA,KARNATAKA,3.6,300,"VJXC+67 Bengaluru, Karnataka"
JSS Hospital,CHAMRAJNAGAR,KARNATAKA,3.1,95,
Annapurna Hospital,CHICKMANGALORE,KARNATAKA,4.8,298,"8Q6C+M2 Chikkamagaluru, Karnataka"
Jeevan Hospital,CHICKMANGALORE,KARNATAKA,3.8,10,"H247+Q2 Kadur, Karnataka"
Holy Cross Hospital,CHIKMAGALAUR,KARNATAKA,3.5,113,"8RQ3+99 Chikkamagaluru, Karnataka"
KRS Multispeciality Hospital Pvt Ltd,CHIKMAGALAUR,KARNATAKA,4.2,159,"8QJF+GW Chikkamagaluru, Karnataka"
Ashraya Hospital (Naidu Street),Chikmaglur,KARNATAKA,4.5,2044,"8Q8F+85 Chikkamagaluru, Karnataka"
P. V. S. Hospital,Chitradurga,KARNATAKA,3.7,3,
Patanjali Hospital.,Chitradurga,KARNATAKA,4.4,77,"6CF2+F5 Chitradurga, Karnataka"
Deccan Hospital,CHITRADURGA,KARNATAKA,4.5,11,
City Central Hospital Pvt Ltd,Davangere,KARNATAKA,3.2,235,"FW69+3G Davanagere, Karnataka"
Soukhyada Hospital,DAVANGERE,KARNATAKA,4.8,2338,"FW59+CF Davanagere, Karnataka"
Srushti Speciality Hospital,DAVANGERE,KARNATAKA,4.4,67,"CWQF+43 Davanagere, Karnataka"
Sanjeevini Hospital,DAVANGERE,KARNATAKA,3.6,22,
Shreeya Hospital (Dharwad),Dharwad,KARNATAKA,3.4,158,"F254+VR Dharwad, Karnataka"
Shri Krishna Children Hospital,Dharwad,KARNATAKA,3.1,9,"FX2V+89 Dharwad, Karnataka"
"Sri Dharmasthala Manjunatheshwara 
College Of Medical Sciences And Hospital",Dharwad,KARNATAKA,4.1,3019,"C392+92 Sattur Colony, Dharwad, Karnataka"
Spandana Hospital,DHARWAD,KARNATAKA,3.4,77,"F222+6W Dharwad, Karnataka"
Sukh Shanti Super Speciality Hospital S4,GOKAK,KARNATAKA,4.1,38,"5R7V+XX Gokak, Karnataka"
Sri Sai Krupa Hospital(Gulbarga),Gulbarga,KARNATAKA,3.5,4,
Vaatsalya Life Hospital,GULBARGA,KARNATAKA,3.3,70,"8RGJ+7H Kalaburagi, Karnataka"
Medicare Multispeciality Hospital,GULBARGA,KARNATAKA,3.0,78,"8RPV+VM Kalaburagi, Karnataka"
Patil Hospital,GULBARGA,KARNATAKA,4.3,22,"8RMQ+WQ Kalaburagi, Karnataka"
Hemavathi Hospital,Hassan,KARNATAKA,3.2,83,"236W+5R Hassan, Karnataka"
Janapriya Hospital And Research Centre,HASSAN,KARNATAKA,3.9,614,"2434+MP Hassan, Karnataka"
Mangala Hospital,HASSAN,KARNATAKA,,314,"2435+W3 Hassan, Karnataka"
"Mani Speciality Hospital And Research 
Institute",Hassan,KARNATAKA,,,
Nagesh Hospital,Hassan,KARNATAKA,,,
Sparsh Hospital,HASSAN,KARNATAKA,,,
Manjunatha Hospital,HASSAN,KARNATAKA,,,
Sanjeevini Cooperative Hospital,HASSAN,KARNATAKA,,,
Dipali Hospital,Hospet,KARNATAKA,,,
Citi Hospital,HOSPET,KARNATAKA,,,
Hebsur Hospital,Hubli,KARNATAKA,,,
Jaypriya Hospital,HUBLI,KARNATAKA,,,
"Kalghatgi Hospital A Unit Of 
Banashankari Hospitals Pvt Ltd",HUBLI,KARNATAKA,,,
Lifeline 24X7 Hi-Tech Icu And Hospital,HUBLI,KARNATAKA,,,
"Shakuntala Memorial Hospital And 
Reserach Centre",Hubli,KARNATAKA,,,
"Sushruta M. Sp. Hospital & Research 
Centre",HUBLI,KARNATAKA,,,
Ashok Hospital,HUBLI,KARNATAKA,,,
Dr Hiregoudar Multispeciality Hospital,HUBLI,KARNATAKA,,,
Hubli Superspecialty Hospital,HUBLI,KARNATAKA,,,
Shivakrupa Hospital & ICU Hubli,HUBLI,KARNATAKA,,,
Tatwadarsha Hospital,HUBLI,KARNATAKA,,,
Manvi Multispeciality Hospital,HUBLI,KARNATAKA,,,
Sanjeevini Speciality Hospital,HUBLI,KARNATAKA,,,
Ashoka Hospital,HUBLI,KARNATAKA,,,
Chirayu Hospital,KARWAR,KARNATAKA,,,
Dr Nukapur Hospital,Kolar,KARNATAKA,,,
Rathna Hospital,Kolar,KARNATAKA,,,
St Mary'S Hospital,Kolar,KARNATAKA,,,
Lakshmi Hospital Kolar,KOLAR,KARNATAKA,,,
Gsr Multispeciality Hospital,Koppal,KARNATAKA,,,
Sri Manjunatha Hospital,KUNDAPUR,KARNATAKA,3.8,66,
Vivus Hospital Pvt Ltd,Madikeri,KARNATAKA,3.8,66,
Pragathi Hospital,MANDYA,KARNATAKA,3.8,66,
S.D. Jayaram Hospital,Mandya,KARNATAKA,3.8,66,
Sanjo Hospital (Mandya),Mandya,KARNATAKA,3.8,66,
Vikram Hospital(Mandya),Mandya,KARNATAKA,3.8,66,
